formula,surface_facet,adsorbate,E_clean_slab_eV,E_slab_with_h_eV,E_h2_eV,ΔGH_eV,descriptor_eV,source,status,timestamp
MoS2,(100),H,-89.5345049758144,-90.92508891798404,-6.438412987227499,1.8286225514441083,1.8286225514441083,GPAW_LDA,completed,2026-02-04T09:16:56.195971
MoS2,(110),H,-89.5345049758144,-90.92508891798404,-6.438412987227499,1.8286225514441083,1.8286225514441083,GPAW_LDA,completed,2026-02-04T09:24:10.866834
MoS2,(111),H,-89.5345049758144,-90.92508891798404,-6.438412987227499,1.8286225514441083,1.8286225514441083,GPAW_LDA,completed,2026-02-04T09:31:26.587673
MoSe2,(100),H,-83.05477287371099,-84.51648225157638,-6.438412987227499,1.75749711574836,1.75749711574836,GPAW_LDA,completed,2026-02-04T09:38:50.764734
MoSe2,(110),H,-83.05477287371099,-84.51648225157638,-6.438412987227499,1.75749711574836,1.75749711574836,GPAW_LDA,completed,2026-02-04T09:45:54.628774
MoSe2,(111),H,-83.05477287371099,-84.51648225157638,-6.438412987227499,1.75749711574836,1.75749711574836,GPAW_LDA,completed,2026-02-04T09:53:01.196976
MoP,(100),H,-54.95167178883216,-57.46990575618905,-6.438412987227499,0.7009725262568578,0.7009725262568578,GPAW_LDA,completed,2026-02-04T10:00:09.361478
MoP,(110),H,-54.95167178883216,-57.46990575618905,-6.438412987227499,0.7009725262568578,0.7009725262568578,GPAW_LDA,completed,2026-02-04T10:04:41.387408
MoP,(111),H,-54.95167178883216,-57.46990575618905,-6.438412987227499,0.7009725262568578,0.7009725262568578,GPAW_LDA,completed,2026-02-04T10:09:06.198245
Mo2N,(100),H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-04T10:13:36.879579
Mo2N,(110),H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-04T10:27:00.992139
Mo2N,(111),H,-75.91875604352603,-78.85014525113397,-6.438412987227499,0.28781728600581413,0.28781728600581413,GPAW_LDA,completed,2026-02-04T10:40:21.617053
